TestC_10_1, kqcznllp/rslrnraa/8/8/8/8/CZZFBRQA/QCRFPKPA w - - 0 1, TestC_1_2/TestC_5_1, depth: 10, matchCount: 40, results: 0.0
TestC_10_2, kqcrllzr/qillarqr/8/8/8/8/ZBLCBNQA/QNRQRKWC w - - 0 1, TestC_5_1/TestC_7_0, depth: 10, matchCount: 40, results: 4.619597661759271
TestC_11_0, kqczsczi/abcralwn/8/8/8/8/CCLFPRQA/QPLBRKAF w - - 0 1, TestC_7_0/TestC_1_2, depth: 10, matchCount: 40, results: 9.18313099918868
TestC_11_1, kacznlzs/qflrnrsr/8/8/8/8/PFQFBRLA/QWWZNKAC w - - 0 1, TestC_1_2/TestC_5_1, depth: 10, matchCount: 40, results: 0.0
TestC_11_2, kqrrlczr/acllqnar/8/8/8/8/CALQBNQB/QNIZRKPL w - - 0 1, TestC_5_1/TestC_7_0, depth: 10, matchCount: 40, results: 12.816022136005857
TestC_12_0, kschrczc/awcrqlar/8/8/8/8/RFLFZRQA/QCLBCKPR w - - 0 1, TestC_7_0/TestC_1_2, depth: 10, matchCount: 40, results: 17.005660008343877
TestC_12_1, kqcscbzq/nzlrarar/8/8/8/8/CFQNBRQA/HCRPFKAP w - - 0 1, TestC_1_2/TestC_5_1, depth: 10, matchCount: 40, results: 6.686346245721738
TestC_12_2, krcqlszl/ainlqrqr/8/8/8/8/QWLQBRQA/ANRZNKPI w - - 0 1, TestC_5_1/TestC_7_0, depth: 10, matchCount: 40, results: 11.580964757807223
TestC_13_0, kschllza/nwcqqcar/8/8/8/8/RFPFBBQA/LCNBRKPI w - - 0 1, TestC_12_0/TestC_7_0, depth: 10, matchCount: 40, results: 10.756318061589882
TestC_13_1, kqazcczr/ascrwlcn/8/8/8/8/CFLFBRZP/QCLZRKAA w - - 0 1, TestC_7_0/TestC_1_2, depth: 10, matchCount: 40, results: 12.887880299545085
TestC_13_2, kzcirsqc/aslrqlra/8/8/8/8/CBLCZQCA/QCLZRKPR w - - 0 1, TestC_1_2/TestC_12_0, depth: 10, matchCount: 40, results: 11.735034789112872
TestC_14_0, ksshllzz/rwcaqrar/8/8/8/8/RNLFBAQI/QCLBRKPR w - - 0 1, TestC_12_0/TestC_7_0, depth: 10, matchCount: 40, results: 7.321461920614162
TestC_14_1, kaczrczw/qscrcaan/8/8/8/8/QFLFBRQA/CCLHRKAC w - - 0 1, TestC_7_0/TestC_1_2, depth: 10, matchCount: 40, results: 2.339943365014511
TestC_14_2, kqcznclr/islcqzar/8/8/8/8/CLLFZRQC/QAKCZNPR w - - 0 1, TestC_1_2/TestC_12_0, depth: 10, matchCount: 40, results: 7.820887173187773
TestC_15_0, knchlrzs/aqcrwrwr/8/8/8/8/RFLFNNQB/CQLKRBPI w - - 0 1, TestC_12_0/TestC_7_0, depth: 10, matchCount: 40, results: 10.686470440440972
TestC_15_1, ksfzrczc/aqarwlcz/8/8/8/8/CWLIBRQA/ZCLQRAKP w - - 0 1, TestC_7_0/TestC_1_2, depth: 10, matchCount: 40, results: 10.70005411403714
TestC_15_2, kqczscpc/arlrqlaz/8/8/8/8/CZLFZRLA/QCQPCKPR w - - 0 1, TestC_1_2/TestC_12_0, depth: 10, matchCount: 40, results: 12.087257226179128
