TestB_10_1, kzifasfc/nrcwbfbn/8/8/8/8/HLPSARZB/IRKBLSWW w - - 0 1, TestB_5_1/TestB_6_2, depth: 10, matchCount: 40, results: 12.76785754335849
TestB_10_2, kriqanbs/nabwwcbi/8/8/8/8/HSRWFSLW/BSKPLCLW w - - 0 1, TestB_6_2/TestB_7_2, depth: 10, matchCount: 40, results: 0.0
TestB_11_0, kawcbcbs/ncaawpai/8/8/8/8/RLNSAWAW/FZFHCLLK w - - 0 1, TestB_7_2/TestB_5_1, depth: 10, matchCount: 40, results: 14.104654040347034
TestB_11_1, krifqcfn/nzcwsfbw/8/8/8/8/RNPHARZL/IBPSLCWK w - - 0 1, TestB_5_1/TestB_6_2, depth: 10, matchCount: 40, results: 12.741452236990739
TestB_11_2, kniqafrs/abcwwlai/8/8/8/8/LLRPBSZW/WSKQLCLW w - - 0 1, TestB_6_2/TestB_7_2, depth: 10, matchCount: 40, results: 12.303541748443863
TestB_12_0, krbfacbs/ncawcrac/8/8/8/8/RFNSRLZW/FKAPSCLW w - - 0 1, TestB_7_2/TestB_5_1, depth: 10, matchCount: 40, results: 7.321461920614162
TestB_12_1, kiifacns/bzcwwfnl/8/8/8/8/HLZSARFL/RBFILIWK w - - 0 1, TestB_5_1/TestB_6_2, depth: 10, matchCount: 40, results: 5.8129178364778715
TestB_12_2, krwqanbs/nwciblci/8/8/8/8/HLRALSRI/WSKPZCLW w - - 0 1, TestB_6_2/TestB_7_2, depth: 10, matchCount: 40, results: 10.546852839521982
TestB_13_0, ksbbcccs/naawwfii/8/8/8/8/RFSSAAZW/FNKWSCLW w - - 0 1, TestB_7_2/TestB_5_1, depth: 10, matchCount: 40, results: 14.25080119577589
TestB_13_1, krinawfs/wzccnfbi/8/8/8/8/SLPHARZR/IBKLACWW w - - 0 1, TestB_5_1/TestB_6_2, depth: 10, matchCount: 40, results: 17.373472195596232
TestB_13_2, krizanbs/lbcwwaai/8/8/8/8/HLRCWSFW/RSKPLBLW w - - 0 1, TestB_6_2/TestB_7_2, depth: 10, matchCount: 40, results: 9.993069986411403
TestB_14_0, kriazncs/wzbcwlai/8/8/8/8/SLPNRWZW/IBKCLILS w - - 0 1, TestB_13_1/TestB_7_2, depth: 10, matchCount: 40, results: 2.339943365014511
TestB_14_1, krcczbbs/nabwwfai/8/8/8/8/RFABNSSQ/FAFHLCLK w - - 0 1, TestB_7_2/TestB_5_1, depth: 10, matchCount: 40, results: 7.321461920614162
TestB_14_2, kzifawfs/nicwnfbi/8/8/8/8/HBASIRZR/ILFRPRWK w - - 0 1, TestB_5_1/TestB_13_1, depth: 10, matchCount: 40, results: 2.339943365014511
TestB_15_0, klinanbs/wpccarwi/8/8/8/8/LLHHWSZR/IBKLSCLW w - - 0 1, TestB_13_1/TestB_7_2, depth: 10, matchCount: 40, results: 0.0
TestB_15_1, krncacba/asawwfci/8/8/8/8/RFNQSSZW/FAKHLCLF w - - 0 1, TestB_7_2/TestB_5_1, depth: 10, matchCount: 40, results: 5.6268125594982275
TestB_15_2, kbwiawfl/nzcwnfri/8/8/8/8/HLIRASQR/WBKRACIW w - - 0 1, TestB_5_1/TestB_13_1, depth: 10, matchCount: 40, results: 4.619597661759271
